HOME,DRAW,AWAY,HASIL
1.5,4.5,6,H
2.62,3.5,2.62,A
1.08,11,26,D
3.4,3.75,2.04,D
5.5,4,1.6,A
1.53,4,7,H
3.5,3.5,2.1,H
2.87,3.3,2.5,D
1.44,4.5,7,H
2.7,3.3,2.6,A
1.28,5.5,11,H
2.7,3.4,2.6,A
1.8,3.8,4.33,D
2.6,3.3,2.75,H
7,5.25,1.4,A
1.8,4,4.1,A
1.9,3.75,3.75,H
4.2,4,1.8,D
1.72,4,4.5,H
1.08,11,34,H
4,4,1.83,H
2.45,3.3,2.9,H
1.66,4,5,H
3.3,3.4,2.2,A
3,3.6,2.3,D
1.9,3.6,4,D
1.44,4.33,7,H
3.6,3.5,2.04,A
2.5,3.25,2.9,D
1.36,5.25,8,H
2.75,3.3,2.6,H
11,7,1.22,A
1.9,4,3.6,D
2.7,3.4,2.62,H
2.4,3.5,2.87,H
1.4,4.75,7.5,H
7,4.5,1.44,H
2.3,3.4,3.1,D
1.36,5.5,7,H
1.66,3.75,5.5,H
1.36,5.25,8,H
1.85,3.6,4,D
3.2,3.5,2.2,D
2.4,3.5,2.9,A
3.1,4.2,2.04,D
1.5,4.5,5.75,H
5.75,4.75,1.5,A
2.2,3.4,3.3,A
1.72,4,4.5,H
2.62,3.3,2.7,A
1.44,4.5,7,H
3.2,3.3,2.3,A
2.6,3.3,2.75,A
1.44,4.5,6.5,D
6,5,1.44,A
1.9,3.6,4,A
1.65,4,5.25,H
3.25,3.6,2.15,A
2,3.7,3.6,A
2.5,3.5,2.75,A
2.4,3.3,2.9,A
3.5,3.4,2.1,A
2.2,3.3,3.4,H
2.5,3.25,2.87,D
1.16,7.5,15,H
3.5,4,1.95,A
1.66,3.8,5.25,H
1.66,4,5,H
2.55,3.5,2.7,D
2.62,3.5,2.6,A
1.08,13,21,H
4,3.6,1.9,A
5.5,4.33,1.53,A
3.3,3.6,2.15,D
2.3,3.3,3.25,A
1.44,4.5,6.5,D
5.5,4.5,1.55,H
3.75,3.6,2,D
2.4,3.4,3,A
2.1,3.5,3.4,H
2.15,3.4,3.4,D
3.8,3.8,1.9,A
1.2,7,13,H
1.66,4.2,4.75,D
2.87,3.4,2.45,D
2.2,3.4,3.25,H
1.57,4.2,5.5,A
1.83,4,4,D
2.1,3.5,3.5,H
1.72,3.8,4.5,H
15,6,1.2,A
2.4,3.5,2.9,D
1.3,6,8.5,H
1.7,3.75,5.25,D
5.25,4,1.65,A
1.72,4,4.5,H
2.3,3.6,3,D
1.44,4.75,6.5,H
7.5,5,1.4,D
1.53,4.33,5.75,D
1.18,7,17,H
1.72,3.75,5,H
2.15,3.5,3.3,H
2.8,3.4,2.5,H
1.75,3.8,4.75,A
1.8,4.2,4,H
4.75,3.75,1.75,A
1.8,4,4,D
5.75,4.5,1.53,H
2.37,3.75,2.8,H
1.85,3.6,4.33,H
1.44,4.5,7.5,H
5.5,4.5,1.57,A
6.5,4.33,1.5,A
1.83,3.75,4.2,A
1.72,4,4.5,H
2.15,3.5,3.3,D
2.05,3.5,3.6,H
1.25,6.5,10,H
1.28,5.5,11,H
2.55,3.25,2.87,H
3.3,3.4,2.2,A
